127.0.0.1 - - [15/Mar/2023:09:42:57 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:43:01 +0900] "GET /dong/ HTTP/1.1" 200 8305
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:43:01 +0900] "GET /dong/lib/wow/wow.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:43:01 +0900] "GET /dong/resources/bootstrap/img/susulogow.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:43:01 +0900] "GET /dong/resources/bootstrap/img/carousel-1.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:43:01 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:43:03 +0900] "GET /dong/board/T_List HTTP/1.1" 200 14152
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:43:03 +0900] "GET /dong/resources/bootstrap/img/k-img10.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:43:03 +0900] "GET /dong/resources/bootstrap/img/k-img11.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:43:03 +0900] "GET /dong/resources/bootstrap/img/carousel-1.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:43:04 +0900] "GET /dong/ HTTP/1.1" 200 8305
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:43:04 +0900] "GET /dong/lib/wow/wow.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:43:04 +0900] "GET /dong/resources/bootstrap/img/carousel-1.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:43:07 +0900] "GET /dong/board/T_List HTTP/1.1" 200 14152
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:43:07 +0900] "GET /dong/resources/bootstrap/img/carousel-1.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:43:33 +0900] "GET /dong/ HTTP/1.1" 200 8305
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:43:33 +0900] "GET /dong/lib/wow/wow.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:43:33 +0900] "GET /dong/resources/bootstrap/img/carousel-1.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:43:34 +0900] "GET /dong/ HTTP/1.1" 200 8305
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:43:34 +0900] "GET /dong/lib/wow/wow.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:43:34 +0900] "GET /dong/resources/bootstrap/lib/easing/easing.min.js HTTP/1.1" 200 2302
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:43:34 +0900] "GET /dong/resources/bootstrap/lib/waypoints/waypoints.min.js HTTP/1.1" 200 9028
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:43:34 +0900] "GET /dong/resources/bootstrap/lib/animate/animate.min.css HTTP/1.1" 200 16953
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:43:34 +0900] "GET /dong/resources/bootstrap/css/style.css HTTP/1.1" 200 9289
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:43:34 +0900] "GET /dong/resources/bootstrap/lib/owlcarousel/assets/owl.carousel.min.css HTTP/1.1" 200 2936
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:43:34 +0900] "GET /dong/resources/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 164222
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:43:34 +0900] "GET /dong/resources/bootstrap/lib/counterup/counterup.min.js HTTP/1.1" 200 2406
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:43:34 +0900] "GET /dong/resources/bootstrap/lib/owlcarousel/owl.carousel.min.js HTTP/1.1" 200 42766
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:43:34 +0900] "GET /dong/resources/bootstrap/img/susulogow.png HTTP/1.1" 200 25153
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:43:34 +0900] "GET /dong/resources/bootstrap/js/main.js HTTP/1.1" 200 2976
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:43:34 +0900] "GET /dong/resources/bootstrap/img/gyeongbokgung.jpg HTTP/1.1" 200 617640
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:43:34 +0900] "GET /dong/resources/bootstrap/img/carousel-1.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:43:34 +0900] "GET /dong/resources/bootstrap/img/seoul_city.jpg HTTP/1.1" 200 3625815
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:43:34 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:43:35 +0900] "GET /dong/board/T_List HTTP/1.1" 200 12898
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:43:35 +0900] "GET /dong/resources/bootstrap/img/carousel-1.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:43:36 +0900] "GET /dong/board/login HTTP/1.1" 200 8634
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:43:36 +0900] "GET /dong/resources/bootstrap/img/carousel-1.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:43:37 +0900] "GET /dong/board/join HTTP/1.1" 500 4619
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:44:02 +0900] "GET /dong/ HTTP/1.1" 200 8303
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:44:02 +0900] "GET /dong/lib/wow/wow.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:44:02 +0900] "GET /dong/resources/bootstrap/img/carousel-1.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:44:03 +0900] "GET /dong/board/login HTTP/1.1" 200 8634
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:44:03 +0900] "GET /dong/resources/bootstrap/img/carousel-1.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:44:04 +0900] "GET /dong/board/join HTTP/1.1" 200 16557
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:44:04 +0900] "GET /dong/resources/bootstrap/img/carousel-1.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:44:05 +0900] "GET /dong/board/T_List HTTP/1.1" 200 12896
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:44:05 +0900] "GET /dong/resources/bootstrap/img/carousel-1.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:44:06 +0900] "GET /dong/ HTTP/1.1" 200 8303
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:44:57 +0900] "GET /dong/ HTTP/1.1" 200 8317
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:44:57 +0900] "GET /dong/lib/wow/wow.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:44:57 +0900] "GET /dong/resources/bootstrap/img/carousel-1.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:44:58 +0900] "GET /dong/ HTTP/1.1" 200 8317
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:44:58 +0900] "GET /dong/resources/bootstrap/lib/owlcarousel/assets/owl.carousel.min.css HTTP/1.1" 200 2936
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:44:58 +0900] "GET /dong/resources/bootstrap/lib/animate/animate.min.css HTTP/1.1" 200 16953
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:44:58 +0900] "GET /dong/resources/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 164222
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:44:58 +0900] "GET /dong/resources/bootstrap/css/style.css HTTP/1.1" 200 9289
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:44:58 +0900] "GET /dong/lib/wow/wow.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:44:58 +0900] "GET /dong/resources/bootstrap/lib/easing/easing.min.js HTTP/1.1" 200 2302
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:44:58 +0900] "GET /dong/resources/bootstrap/lib/counterup/counterup.min.js HTTP/1.1" 200 2406
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:44:58 +0900] "GET /dong/resources/bootstrap/lib/waypoints/waypoints.min.js HTTP/1.1" 200 9028
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:44:58 +0900] "GET /dong/resources/bootstrap/js/main.js HTTP/1.1" 200 2976
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:44:58 +0900] "GET /dong/resources/bootstrap/lib/owlcarousel/owl.carousel.min.js HTTP/1.1" 200 42766
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:44:58 +0900] "GET /dong/resources/bootstrap/img/susulogow.png HTTP/1.1" 200 25153
